SchemeCode,SchemeName,NAV,NAVDate
100669,UTI - Equity Fund-Growth Option,105.9341,2015-08-03 00:00:00
100669,UTI - Equity Fund-Growth Option,106.4526,2015-08-04 00:00:00
100669,UTI - Equity Fund-Growth Option,107.4408,2015-08-05 00:00:00
100669,UTI - Equity Fund-Growth Option,107.4462,2015-08-06 00:00:00
100669,UTI - Equity Fund-Growth Option,107.3392,2015-08-07 00:00:00
100669,UTI - Equity Fund-Growth Option,106.7991,2015-08-10 00:00:00
100669,UTI - Equity Fund-Growth Option,105.989,2015-08-11 00:00:00
100669,UTI - Equity Fund-Growth Option,104.2896,2015-08-12 00:00:00
100669,UTI - Equity Fund-Growth Option,104.4299,2015-08-13 00:00:00
100669,UTI - Equity Fund-Growth Option,106.5497,2015-08-14 00:00:00
100669,UTI - Equity Fund-Growth Option,106.5527,2015-08-17 00:00:00
100669,UTI - Equity Fund-Growth Option,107.0147,2015-08-18 00:00:00
100669,UTI - Equity Fund-Growth Option,107.3922,2015-08-19 00:00:00
100669,UTI - Equity Fund-Growth Option,105.8828,2015-08-20 00:00:00
100669,UTI - Equity Fund-Growth Option,105.0879,2015-08-21 00:00:00
100669,UTI - Equity Fund-Growth Option,98.4821,2015-08-24 00:00:00
100669,UTI - Equity Fund-Growth Option,99.4539,2015-08-25 00:00:00
100669,UTI - Equity Fund-Growth Option,98.6698,2015-08-26 00:00:00
100669,UTI - Equity Fund-Growth Option,100.5809,2015-08-27 00:00:00
100669,UTI - Equity Fund-Growth Option,101.1082,2015-08-28 00:00:00
100669,UTI - Equity Fund-Growth Option,100.6344,2015-08-31 00:00:00
100669,UTI - Equity Fund-Growth Option,98.5148,2015-09-01 00:00:00
100669,UTI - Equity Fund-Growth Option,98.0107,2015-09-02 00:00:00
100669,UTI - Equity Fund-Growth Option,98.9694,2015-09-03 00:00:00
100669,UTI - Equity Fund-Growth Option,97.1335,2015-09-04 00:00:00
100669,UTI - Equity Fund-Growth Option,95.5908,2015-09-07 00:00:00
100669,UTI - Equity Fund-Growth Option,96.7735,2015-09-08 00:00:00
100669,UTI - Equity Fund-Growth Option,98.4455,2015-09-09 00:00:00
100669,UTI - Equity Fund-Growth Option,98.4793,2015-09-10 00:00:00
100669,UTI - Equity Fund-Growth Option,98.7479,2015-09-11 00:00:00
100669,UTI - Equity Fund-Growth Option,99.6348,2015-09-14 00:00:00
100669,UTI - Equity Fund-Growth Option,99.0577,2015-09-15 00:00:00
100669,UTI - Equity Fund-Growth Option,99.4659,2015-09-16 00:00:00
100669,UTI - Equity Fund-Growth Option,100.8725,2015-09-18 00:00:00
100669,UTI - Equity Fund-Growth Option,101.2271,2015-09-21 00:00:00
100669,UTI - Equity Fund-Growth Option,99.5372,2015-09-22 00:00:00
100669,UTI - Equity Fund-Growth Option,99.7885,2015-09-23 00:00:00
100669,UTI - Equity Fund-Growth Option,99.8839,2015-09-24 00:00:00
100669,UTI - Equity Fund-Growth Option,99.1171,2015-09-28 00:00:00
100669,UTI - Equity Fund-Growth Option,99.2907,2015-09-29 00:00:00
100669,UTI - Equity Fund-Growth Option,100.462,2015-09-30 00:00:00
100669,UTI - Equity Fund-Growth Option,101.0148,2015-10-01 00:00:00
100669,UTI - Equity Fund-Growth Option,102.8748,2015-10-05 00:00:00
100669,UTI - Equity Fund-Growth Option,103.0347,2015-10-06 00:00:00
100669,UTI - Equity Fund-Growth Option,103.1297,2015-10-07 00:00:00
100669,UTI - Equity Fund-Growth Option,102.6102,2015-10-08 00:00:00
100669,UTI - Equity Fund-Growth Option,102.7508,2015-10-09 00:00:00
100669,UTI - Equity Fund-Growth Option,102.1417,2015-10-12 00:00:00
100669,UTI - Equity Fund-Growth Option,102.2179,2015-10-13 00:00:00
100669,UTI - Equity Fund-Growth Option,101.8774,2015-10-14 00:00:00
